sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101003551,30.bmp,1.5327399,p,3,r,r,r,m,25,3
8101003551,60.bmp,0.7401107,p,11,r,r,r,m,25,3
8101003551,70.bmp,0.7735225,p,4,r,r,r,m,25,3
8101003551,10.bmp,0.7323334,p,10,r,r,r,m,25,3
8101003551,40.bmp,0.6903778,p,7,r,r,r,m,25,3
8101003551,20.bmp,0.8825889,p,8,r,r,r,m,25,3
8101003551,60.bmp,0.7116335,p,1,r,r,r,m,25,3
8101003551,80.bmp,1.1469843,p,10,r,r,r,m,25,3
8101003551,0.bmp,0.7125337,p,11,r,r,r,m,25,3
8101003551,10.bmp,0.6916644,p,9,r,r,r,m,25,3
8101003551,50.bmp,1.0446918,p,6,r,r,r,m,25,3
8101003551,0.bmp,1.780939,p,13,r,r,r,m,25,3
8101003551,70.bmp,0.9802775,p,8,r,r,r,m,25,3
8101003551,40.bmp,0.9567185,p,3,r,r,r,m,25,3
8101003551,10.bmp,0.7579303,p,6,r,r,r,m,25,3
8101003551,70.bmp,0.8933477,p,10,r,r,r,m,25,3
8101003551,80.bmp,0.7060234,p,5,r,r,r,m,25,3
8101003551,40.bmp,0.7566383,p,13,r,r,r,m,25,3
8101003551,60.bmp,0.6543427,p,3,r,r,r,m,25,3
8101003551,60.bmp,0.6993992,p,6,r,r,r,m,25,3
8101003551,40.bmp,0.9459326,p,11,r,r,r,m,25,3
8101003551,30.bmp,1.543178,p,4,r,r,r,m,25,3
8101003551,0.bmp,1.9893883,p,12,r,r,r,m,25,3
8101003551,40.bmp,1.2936296,p,1,r,r,r,m,25,3
8101003551,20.bmp,1.2121852,p,5,r,r,r,m,25,3
8101003551,70.bmp,0.9460713,p,5,r,r,r,m,25,3
8101003551,40.bmp,0.7760996,p,4,r,r,r,m,25,3
8101003551,70.bmp,0.6805301,p,2,r,r,r,m,25,3
8101003551,60.bmp,0.9508487,p,2,r,r,r,m,25,3
8101003551,50.bmp,0.7261946,p,5,r,r,r,m,25,3
8101003551,60.bmp,0.6699355,p,13,r,r,r,m,25,3
8101003551,40.bmp,1.0525549,p,8,r,r,r,m,25,3
8101003551,20.bmp,0.747404,p,11,r,r,r,m,25,3
8101003551,20.bmp,0.7422229,p,12,r,r,r,m,25,3
8101003551,50.bmp,3.2331767,p,8,r,r,r,m,25,3
8101003551,70.bmp,0.9342755,p,12,r,r,r,m,25,3
8101003551,20.bmp,0.7620072,p,3,r,r,r,m,25,3
8101003551,80.bmp,0.9009728,p,9,r,r,r,m,25,3
8101003551,10.bmp,1.9443886,p,11,r,r,r,m,25,3
8101003551,20.bmp,0.9081597,p,9,r,r,r,m,25,3
8101003551,20.bmp,0.7123002,p,6,r,r,r,m,25,3
8101003551,20.bmp,1.2662597,p,7,r,r,r,m,25,3
8101003551,10.bmp,0.9559144,p,12,r,r,r,m,25,3
8101003551,70.bmp,1.7565555,p,3,r,r,r,m,25,3
8101003551,80.bmp,1.1669246,p,4,r,r,r,m,25,3
8101003551,70.bmp,0.9587933,p,9,r,r,r,m,25,3
8101003551,50.bmp,0.6670173,p,1,r,r,r,m,25,3
8101003551,50.bmp,1.3292237,p,12,r,r,r,m,25,3
8101003551,40.bmp,1.087523,p,9,r,r,r,m,25,3
8101003551,40.bmp,0.9369463,p,10,r,r,r,m,25,3
8101003551,10.bmp,0.5772244,o,4,r,r,r,m,25,3
8101003551,80.bmp,0.7986573,p,13,r,r,r,m,25,3
8101003551,80.bmp,2.2981142,p,6,r,r,r,m,25,3
8101003551,80.bmp,0.630892,p,12,r,r,r,m,25,3
8101003551,40.bmp,1.3589387,p,6,r,r,r,m,25,3
8101003551,80.bmp,1.2964866,p,2,r,r,r,m,25,3
8101003551,60.bmp,0.7089095,p,8,r,r,r,m,25,3
8101003551,80.bmp,1.9284209,p,8,r,r,r,m,25,3
8101003551,80.bmp,1.1289783,p,1,r,r,r,m,25,3
8101003551,10.bmp,0.7421038,p,1,r,r,r,m,25,3
8101003551,40.bmp,2.1419645,p,2,r,r,r,m,25,3
8101003551,40.bmp,1.3379183,p,5,r,r,r,m,25,3
8101003551,0.bmp,1.6845211,p,6,r,r,r,m,25,3
8101003551,60.bmp,3.598819,p,12,r,r,r,m,25,3
8101003551,50.bmp,0.810378,p,9,r,r,r,m,25,3
8101003551,70.bmp,3.6469867,p,7,r,r,r,m,25,3
8101003551,60.bmp,0.7534276,p,4,r,r,r,m,25,3
8101003551,80.bmp,0.6161286,p,3,r,r,r,m,25,3
8101003551,10.bmp,0.8025527,p,5,r,r,r,m,25,3
8101003551,30.bmp,0.5485473,p,8,r,r,r,m,25,3
8101003551,20.bmp,0.8518195,p,2,r,r,r,m,25,3
8101003551,80.bmp,2.8080514,p,11,r,r,r,m,25,3
8101003551,30.bmp,1.0869865,p,9,r,r,r,m,25,3
8101003551,0.bmp,1.4629691,p,4,r,r,r,m,25,3
8101003551,30.bmp,0.7890548,p,1,r,r,r,m,25,3
8101003551,30.bmp,0.5778632,p,12,r,r,r,m,25,3
8101003551,0.bmp,0.4256195,p,10,r,r,r,m,25,3
8101003551,20.bmp,0.4770015,p,4,r,r,r,m,25,3
8101003551,0.bmp,0.5729968,p,2,r,r,r,m,25,3
8101003551,10.bmp,0.7334187,p,8,r,r,r,m,25,3
8101003551,30.bmp,0.6476181,p,7,r,r,r,m,25,3
8101003551,50.bmp,0.7336976,p,2,r,r,r,m,25,3
8101003551,70.bmp,0.6131928,p,11,r,r,r,m,25,3
8101003551,0.bmp,0.5781998,p,7,r,r,r,m,25,3
8101003551,10.bmp,3.6363083,p,7,r,r,r,m,25,3
8101003551,10.bmp,1.2559071,p,13,r,r,r,m,25,3
8101003551,20.bmp,0.5139576,p,13,r,r,r,m,25,3
8101003551,70.bmp,0.6473272,p,13,r,r,r,m,25,3
8101003551,60.bmp,0.654053,p,10,r,r,r,m,25,3
8101003551,30.bmp,0.6041851,p,11,r,r,r,m,25,3
8101003551,50.bmp,0.9230725,p,10,r,r,r,m,25,3
8101003551,10.bmp,0.6226776,p,3,r,r,r,m,25,3
8101003551,30.bmp,0.8500215,p,10,r,r,r,m,25,3
8101003551,20.bmp,0.7185209,p,10,r,r,r,m,25,3
8101003551,30.bmp,1.0848462,p,2,r,r,r,m,25,3
8101003551,50.bmp,0.4586304,p,13,r,r,r,m,25,3
8101003551,30.bmp,0.6137274,p,3,r,r,r,m,25,3
8101003551,60.bmp,0.6082713,p,9,r,r,r,m,25,3
8101003551,50.bmp,0.616634,p,7,r,r,r,m,25,3
8101003551,60.bmp,0.6496471,p,5,r,r,r,m,25,3
8101003551,20.bmp,0.8316629,p,1,r,r,r,m,25,3
8101003551,0.bmp,0.6291099,p,1,r,r,r,m,25,3
8101003551,70.bmp,0.6065322,p,6,r,r,r,m,25,3
8101003551,80.bmp,0.5370166,p,7,r,r,r,m,25,3
8101003551,0.bmp,0.4693875,p,9,r,r,r,m,25,3
8101003551,0.bmp,0.5999037,p,8,r,r,r,m,25,3
8101003551,50.bmp,0.4601785,p,3,r,r,r,m,25,3
8101003551,40.bmp,0.8183363,p,12,r,r,r,m,25,3
8101003551,30.bmp,0.8052917,p,6,r,r,r,m,25,3
8101003551,50.bmp,1.7952353,p,11,r,r,r,m,25,3
8101003551,70.bmp,1.053706,p,1,r,r,r,m,25,3
8101003551,60.bmp,1.2748146,p,7,r,r,r,m,25,3
8101003551,50.bmp,0.7438391,p,4,r,r,r,m,25,3
8101003551,30.bmp,0.5948447,p,13,r,r,r,m,25,3
8101003551,0.bmp,0.4302937,p,3,r,r,r,m,25,3
8101003551,0.bmp,0.664471,p,5,r,r,r,m,25,3
8101003551,10.bmp,0.4708569,p,2,r,r,r,m,25,3
8101003551,70.bmp,0.6686837,p,9,r,r,r,m,25,3
8101003551,80.bmp,0.5734392,p,12,r,r,r,m,25,3
8101003551,60.bmp,1.1256656,p,1,r,r,r,m,25,3
8101003551,40.bmp,0.7899777,p,5,r,r,r,m,25,3
8101003551,40.bmp,0.5365164,p,11,r,r,r,m,25,3
8101003551,30.bmp,0.5199146,p,1,r,r,r,m,25,3
8101003551,0.bmp,0.5798932,p,12,r,r,r,m,25,3
8101003551,30.bmp,0.5199301,p,11,r,r,r,m,25,3
8101003551,50.bmp,0.5474984,p,3,r,r,r,m,25,3
8101003551,50.bmp,0.5152491,p,2,r,r,r,m,25,3
8101003551,60.bmp,0.4793154,p,11,r,r,r,m,25,3
8101003551,60.bmp,0.6135529,p,5,r,r,r,m,25,3
8101003551,80.bmp,0.7659042,p,2,r,r,r,m,25,3
8101003551,60.bmp,0.4341934,p,6,r,r,r,m,25,3
8101003551,50.bmp,0.4684737,p,12,r,r,r,m,25,3
8101003551,20.bmp,0.8870912,p,3,r,r,r,m,25,3
8101003551,10.bmp,0.4678101,p,4,r,r,r,m,25,3
8101003551,10.bmp,0.8028672,p,7,r,r,r,m,25,3
8101003551,20.bmp,0.374804,p,1,r,r,r,m,25,3
8101003551,60.bmp,0.5289918,p,9,r,r,r,m,25,3
8101003551,30.bmp,0.924267,p,9,r,r,r,m,25,3
8101003551,30.bmp,0.524367,p,4,r,r,r,m,25,3
8101003551,60.bmp,0.6299908,p,10,r,r,r,m,25,3
8101003551,80.bmp,0.6400543,p,9,r,r,r,m,25,3
8101003551,60.bmp,0.527174,p,4,r,r,r,m,25,3
8101003551,70.bmp,0.4993733,p,3,r,r,r,m,25,3
8101003551,80.bmp,0.4447281,p,7,r,r,r,m,25,3
8101003551,30.bmp,0.5558656,p,8,r,r,r,m,25,3
8101003551,50.bmp,0.4381294,p,5,r,r,r,m,25,3
8101003551,10.bmp,0.4303105,p,10,r,r,r,m,25,3
8101003551,0.bmp,0.6093503,p,13,r,r,r,m,25,3
8101003551,40.bmp,0.4908436,p,12,r,r,r,m,25,3
8101003551,10.bmp,0.5933714,p,1,r,r,r,m,25,3
8101003551,10.bmp,0.433044,p,5,r,r,r,m,25,3
8101003551,20.bmp,0.4652997,p,7,r,r,r,m,25,3
8101003551,80.bmp,0.4945339,p,13,r,r,r,m,25,3
8101003551,0.bmp,1.2483664,p,7,r,r,r,m,25,3
8101003551,30.bmp,1.6596672,p,10,r,r,r,m,25,3
8101003551,10.bmp,0.3798567,p,11,r,r,r,m,25,3
8101003551,50.bmp,0.6682863,p,10,r,r,r,m,25,3
8101003551,70.bmp,1.6048335,p,10,r,r,r,m,25,3
8101003551,60.bmp,0.4648514,p,8,r,r,r,m,25,3
8101003551,30.bmp,0.6132597,p,2,r,r,r,m,25,3
8101003551,30.bmp,0.732356,p,12,r,r,r,m,25,3
8101003551,50.bmp,0.6122357,p,4,r,r,r,m,25,3
8101003551,30.bmp,0.4427575,p,6,r,r,r,m,25,3
8101003551,30.bmp,0.3665443,p,5,r,r,r,m,25,3
8101003551,20.bmp,0.4067265,p,12,r,r,r,m,25,3
8101003551,70.bmp,0.8492268,p,4,r,r,r,m,25,3
8101003551,40.bmp,1.4595478,p,4,r,r,r,m,25,3
8101003551,20.bmp,0.8750627,p,11,r,r,r,m,25,3
8101003551,40.bmp,0.8453881,p,7,r,r,r,m,25,3
8101003551,20.bmp,0.4403779,p,2,r,r,r,m,25,3
8101003551,20.bmp,0.8637091,p,13,r,r,r,m,25,3
8101003551,80.bmp,1.3979423,o,10,r,r,r,m,25,3
8101003551,80.bmp,1.3611463,o,8,r,r,r,m,25,3
8101003551,80.bmp,0.5305382,p,5,r,r,r,m,25,3
8101003551,0.bmp,0.795227,p,9,r,r,r,m,25,3
8101003551,70.bmp,0.8062311,p,8,r,r,r,m,25,3
8101003551,70.bmp,0.5727987,p,2,r,r,r,m,25,3
8101003551,40.bmp,0.6348808,p,13,r,r,r,m,25,3
8101003551,50.bmp,0.6155299,p,1,r,r,r,m,25,3
8101003551,0.bmp,0.3486394,p,6,r,r,r,m,25,3
8101003551,30.bmp,0.6049354,p,13,r,r,r,m,25,3
8101003551,0.bmp,0.478562,p,2,r,r,r,m,25,3
8101003551,70.bmp,0.4411441,p,5,r,r,r,m,25,3
8101003551,30.bmp,0.870255,p,3,r,r,r,m,25,3
8101003551,20.bmp,0.9367516,p,10,r,r,r,m,25,3
8101003551,80.bmp,3.7193711,o,4,r,r,r,m,25,3
8101003551,10.bmp,0.8986579,p,12,r,r,r,m,25,3
8101003551,20.bmp,0.7080364,p,4,r,r,r,m,25,3
8101003551,10.bmp,0.8030163,p,8,r,r,r,m,25,3
8101003551,60.bmp,0.9514258,p,3,r,r,r,m,25,3
8101003551,0.bmp,0.9608466,p,5,r,r,r,m,25,3
8101003551,20.bmp,0.702607,p,9,r,r,r,m,25,3
8101003551,0.bmp,0.6799331,p,3,r,r,r,m,25,3
8101003551,20.bmp,0.6079962,p,6,r,r,r,m,25,3
8101003551,10.bmp,0.7563396,p,3,r,r,r,m,25,3
8101003551,20.bmp,1.7946401,p,5,r,r,r,m,25,3
8101003551,60.bmp,3.8420612,p,7,r,r,r,m,25,3
8101003551,40.bmp,2.5812602,p,10,r,r,r,m,25,3
8101003551,80.bmp,3.1913592,p,3,r,r,r,m,25,3
8101003551,40.bmp,0.7916185,p,2,r,r,r,m,25,3
8101003551,10.bmp,0.4894833,p,2,r,r,r,m,25,3
8101003551,60.bmp,0.7067572,p,12,r,r,r,m,25,3
8101003551,50.bmp,0.6496564,p,6,r,r,r,m,25,3
8101003551,50.bmp,0.8591055,p,13,r,r,r,m,25,3
8101003551,30.bmp,0.4935463,p,7,r,r,r,m,25,3
8101003551,50.bmp,1.4274599,p,7,r,r,r,m,25,3
8101003551,80.bmp,0.7950453,p,11,r,r,r,m,25,3
8101003551,0.bmp,0.9592391,p,8,r,r,r,m,25,3
8101003551,10.bmp,0.9222595,p,6,r,r,r,m,25,3
8101003551,10.bmp,1.424518,p,13,r,r,r,m,25,3
8101003551,70.bmp,4.1313952,p,7,r,r,r,m,25,3
8101003551,10.bmp,0.8836555,p,9,r,r,r,m,25,3
8101003551,40.bmp,0.4846835,p,3,r,r,r,m,25,3
8101003551,50.bmp,0.8414843,p,8,r,r,r,m,25,3
8101003551,0.bmp,1.948179,p,11,r,r,r,m,25,3
8101003551,20.bmp,1.5677197,p,8,r,r,r,m,25,3
8101003551,0.bmp,1.0054884,p,10,r,r,r,m,25,3
8101003551,70.bmp,2.5788492,p,6,r,r,r,m,25,3
8101003551,40.bmp,4.3427269,p,6,r,r,r,m,25,3
8101003551,60.bmp,4.260766,p,2,r,r,r,m,25,3
8101003551,70.bmp,0.8606966,p,11,r,r,r,m,25,3
8101003551,50.bmp,0.8615564,p,9,r,r,r,m,25,3
8101003551,0.bmp,0.6807533,p,1,r,r,r,m,25,3
8101003551,70.bmp,0.9061934,p,13,r,r,r,m,25,3
8101003551,70.bmp,0.6326411,p,1,r,r,r,m,25,3
8101003551,0.bmp,3.2944756,p,4,r,r,r,m,25,3
8101003551,40.bmp,1.0413483,p,9,r,r,r,m,25,3
8101003551,70.bmp,0.7555252,p,12,r,r,r,m,25,3
8101003551,80.bmp,0.6368706,p,6,r,r,r,m,25,3
8101003551,80.bmp,0.5761892,p,1,r,r,r,m,25,3
8101003551,60.bmp,0.6773208,p,13,r,r,r,m,25,3
8101003551,50.bmp,0.9916747,p,11,r,r,r,m,25,3
8101003551,40.bmp,1.4822147,p,8,r,r,r,m,25,3
8101003551,40.bmp,1.7874647,p,1,r,r,r,m,25,3
8101003551,10.bmp,3.8693332,w,11,l,r,r,m,25,3
8101003551,60.bmp,0.6522098,w,13,l,r,r,m,25,3
8101003551,50.bmp,1.0264815,q,11,l,r,r,m,25,3
8101003551,20.bmp,0.6901408,q,5,l,r,r,m,25,3
8101003551,20.bmp,0.7161922,w,3,l,r,r,m,25,3
8101003551,40.bmp,1.8026439,q,8,l,r,r,m,25,3
8101003551,30.bmp,1.6648654,w,5,l,r,r,m,25,3
8101003551,10.bmp,1.8535874,q,12,l,r,r,m,25,3
8101003551,20.bmp,2.7227554,w,12,l,r,r,m,25,3
8101003551,40.bmp,1.6550026,w,3,l,r,r,m,25,3
8101003551,50.bmp,1.058035,w,6,l,r,r,m,25,3
8101003551,50.bmp,0.7779758,w,2,l,r,r,m,25,3
8101003551,40.bmp,1.0825241,w,5,l,r,r,m,25,3
8101003551,80.bmp,0.7737115,w,6,l,r,r,m,25,3
8101003551,80.bmp,2.0327075,w,12,l,r,r,m,25,3
8101003551,80.bmp,2.7167404,w,1,l,r,r,m,25,3
8101003551,20.bmp,1.4843704,w,6,l,r,r,m,25,3
8101003551,70.bmp,0.8781172,w,1,l,r,r,m,25,3
8101003551,50.bmp,0.7055778,w,3,l,r,r,m,25,3
8101003551,30.bmp,0.7590451,w,6,l,r,r,m,25,3
8101003551,30.bmp,0.9111539,w,1,l,r,r,m,25,3
8101003551,0.bmp,0.9374956,w,13,l,r,r,m,25,3
8101003551,40.bmp,0.8248256,w,11,l,r,r,m,25,3
8101003551,10.bmp,0.5307398,w,7,l,r,r,m,25,3
8101003551,0.bmp,0.6685953,w,6,l,r,r,m,25,3
8101003551,20.bmp,0.7121321,w,2,l,r,r,m,25,3
8101003551,70.bmp,1.1833718,w,13,l,r,r,m,25,3
8101003551,0.bmp,1.1567274,w,10,l,r,r,m,25,3
8101003551,70.bmp,0.7985143,q,11,l,r,r,m,25,3
8101003551,40.bmp,0.9453526,q,9,l,r,r,m,25,3
8101003551,10.bmp,0.6573626,w,8,l,r,r,m,25,3
8101003551,30.bmp,0.813368,w,2,l,r,r,m,25,3
8101003551,30.bmp,1.0324787,q,10,l,r,r,m,25,3
8101003551,60.bmp,0.8040745,q,10,l,r,r,m,25,3
8101003551,80.bmp,1.1348867,w,13,l,r,r,m,25,3
8101003551,70.bmp,3.7447661,w,10,l,r,r,m,25,3
8101003551,10.bmp,0.7836793,w,1,l,r,r,m,25,3
8101003551,0.bmp,0.7500437,w,7,l,r,r,m,25,3
8101003551,10.bmp,1.0824531,w,5,l,r,r,m,25,3
8101003551,80.bmp,1.7131167,w,8,l,r,r,m,25,3
8101003551,60.bmp,2.078051,q,1,l,r,r,m,25,3
8101003551,70.bmp,0.7212815,q,9,l,r,r,m,25,3
8101003551,30.bmp,0.5908596,w,7,l,r,r,m,25,3
8101003551,60.bmp,0.6356247,w,7,l,r,r,m,25,3
8101003551,80.bmp,0.7162936,w,3,l,r,r,m,25,3
8101003551,40.bmp,0.5828495,w,2,l,r,r,m,25,3
8101003551,20.bmp,0.6570835,w,8,l,r,r,m,25,3
8101003551,70.bmp,0.796378,w,3,l,r,r,m,25,3
8101003551,40.bmp,0.3664945,w,12,l,r,r,m,25,3
8101003551,70.bmp,0.8815174,w,7,l,r,r,m,25,3
8101003551,50.bmp,0.4935793,w,8,l,r,r,m,25,3
8101003551,0.bmp,1.3218087,w,2,l,r,r,m,25,3
8101003551,0.bmp,0.6856331,w,4,l,r,r,m,25,3
8101003551,60.bmp,1.5399214,w,5,l,r,r,m,25,3
8101003551,20.bmp,0.6062708,w,4,l,r,r,m,25,3
8101003551,60.bmp,0.7431568,w,3,l,r,r,m,25,3
8101003551,20.bmp,0.7995322,w,13,l,r,r,m,25,3
8101003551,10.bmp,0.6977988,w,10,l,r,r,m,25,3
8101003551,70.bmp,1.7131332,w,5,l,r,r,m,25,3
8101003551,30.bmp,0.7991368,w,8,l,r,r,m,25,3
8101003551,0.bmp,0.7397041,w,3,l,r,r,m,25,3
8101003551,0.bmp,0.725601,w,5,l,r,r,m,25,3
8101003551,20.bmp,1.0710125,q,11,l,r,r,m,25,3
8101003551,40.bmp,0.6752055,q,6,l,r,r,m,25,3
8101003551,10.bmp,0.5934139,w,13,l,r,r,m,25,3
8101003551,70.bmp,0.4733948,q,12,l,r,r,m,25,3
8101003551,20.bmp,0.5502925,w,7,l,r,r,m,25,3
8101003551,50.bmp,0.665037,w,5,l,r,r,m,25,3
8101003551,20.bmp,0.9515998,w,1,l,r,r,m,25,3
8101003551,60.bmp,0.7319656,w,11,l,r,r,m,25,3
8101003551,80.bmp,0.6797635,w,7,l,r,r,m,25,3
8101003551,10.bmp,0.8047583,w,9,l,r,r,m,25,3
8101003551,60.bmp,0.9261501,w,12,l,r,r,m,25,3
8101003551,0.bmp,0.7205376,w,12,l,r,r,m,25,3
8101003551,70.bmp,1.839125,w,4,l,r,r,m,25,3
8101003551,70.bmp,0.8740705,q,6,l,r,r,m,25,3
8101003551,60.bmp,0.5667164,w,8,l,r,r,m,25,3
8101003551,30.bmp,0.8078172,w,9,l,r,r,m,25,3
8101003551,10.bmp,0.6917859,w,6,l,r,r,m,25,3
8101003551,20.bmp,0.5558057,w,9,l,r,r,m,25,3
8101003551,40.bmp,0.5686899,w,7,l,r,r,m,25,3
8101003551,0.bmp,0.7353559,w,1,l,r,r,m,25,3
8101003551,30.bmp,0.630279,w,13,l,r,r,m,25,3
8101003551,50.bmp,0.8746424,w,10,l,r,r,m,25,3
8101003551,50.bmp,0.5370992,w,13,l,r,r,m,25,3
8101003551,60.bmp,0.8389313,w,4,l,r,r,m,25,3
8101003551,20.bmp,0.8428231,w,10,l,r,r,m,25,3
8101003551,60.bmp,1.46556,w,6,l,r,r,m,25,3
8101003551,50.bmp,5.3207494,w,9,l,r,r,m,25,3
8101003551,70.bmp,1.0717069,w,2,l,r,r,m,25,3
8101003551,70.bmp,0.6422007,w,8,l,r,r,m,25,3
8101003551,60.bmp,0.4933357,w,2,l,r,r,m,25,3
8101003551,40.bmp,0.4991611,w,4,l,r,r,m,25,3
8101003551,50.bmp,0.5635102,w,7,l,r,r,m,25,3
8101003551,0.bmp,0.5101326,w,11,l,r,r,m,25,3
8101003551,80.bmp,4.279269,w,5,l,r,r,m,25,3
8101003551,80.bmp,1.0329371,w,10,l,r,r,m,25,3
8101003551,50.bmp,0.6390155,w,12,l,r,r,m,25,3
8101003551,30.bmp,3.1463684,w,3,l,r,r,m,25,3
8101003551,10.bmp,0.768437,w,2,l,r,r,m,25,3
8101003551,80.bmp,0.6381216,w,2,l,r,r,m,25,3
8101003551,0.bmp,0.8163626,w,8,l,r,r,m,25,3
8101003551,40.bmp,0.6646681,w,1,l,r,r,m,25,3
8101003551,50.bmp,2.5576668,w,1,l,r,r,m,25,3
8101003551,40.bmp,2.7239243,w,10,l,r,r,m,25,3
8101003551,0.bmp,0.7588865,w,9,l,r,r,m,25,3
8101003551,80.bmp,0.7469589,w,11,l,r,r,m,25,3
8101003551,30.bmp,5.0119822,w,11,l,r,r,m,25,3
8101003551,40.bmp,0.6217604,w,13,l,r,r,m,25,3
8101003551,80.bmp,0.7921709,w,9,l,r,r,m,25,3
8101003551,30.bmp,0.7696538,w,4,l,r,r,m,25,3
8101003551,10.bmp,0.8445024,w,4,l,r,r,m,25,3
8101003551,50.bmp,0.8417508,w,4,l,r,r,m,25,3
8101003551,10.bmp,0.5102234,w,3,l,r,r,m,25,3
8101003551,30.bmp,0.4311569,w,12,l,r,r,m,25,3
8101003551,60.bmp,0.4314327,w,9,l,r,r,m,25,3
8101003551,80.bmp,1.6244647,w,4,l,r,r,m,25,3
8101003551,70.bmp,0.8261106,w,10,l,r,r,m,25,3
8101003551,60.bmp,0.5568227,w,12,l,r,r,m,25,3
8101003551,80.bmp,0.7344204,w,12,l,r,r,m,25,3
8101003551,20.bmp,0.521819,w,8,l,r,r,m,25,3
8101003551,80.bmp,0.5507594,w,10,l,r,r,m,25,3
8101003551,0.bmp,0.5662325,w,6,l,r,r,m,25,3
8101003551,20.bmp,0.2932646,w,5,l,r,r,m,25,3
8101003551,20.bmp,0.2588326,w,12,l,r,r,m,25,3
8101003551,80.bmp,0.3228365,w,6,l,r,r,m,25,3
8101003551,80.bmp,0.2833017,w,9,l,r,r,m,25,3
8101003551,40.bmp,0.688026,w,8,l,r,r,m,25,3
8101003551,10.bmp,0.4345346,w,7,l,r,r,m,25,3
8101003551,80.bmp,1.4141799,w,7,l,r,r,m,25,3
8101003551,0.bmp,1.7185032,w,2,l,r,r,m,25,3
8101003551,10.bmp,1.0963187,w,2,l,r,r,m,25,3
8101003551,40.bmp,1.1323582,w,5,l,r,r,m,25,3
8101003551,60.bmp,0.6162625,w,2,l,r,r,m,25,3
8101003551,60.bmp,0.5914116,w,3,l,r,r,m,25,3
8101003551,40.bmp,0.6869576,w,10,l,r,r,m,25,3
8101003551,60.bmp,0.5691069,w,1,l,r,r,m,25,3
8101003551,50.bmp,0.6328063,w,10,l,r,r,m,25,3
8101003551,20.bmp,0.5404236,w,9,l,r,r,m,25,3
